source,target,value
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,Technische Universität Berlin,0
Pflanzenschutzamt Berlin,Wohnraumversorgung Berlin,0
Technische Universität Berlin,Landesfinanzservice (inkl. Landeshauptkasse),0
Verkehrslenkung Berlin,Unfallkasse Berlin,0
Unfallkasse Berlin,Berliner Bäderbetriebe,198
Finanzamt Charlottenburg,Amtsgericht Spandau,0
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Stiftung Stadtmuseum Berlin,0
Wiedergutmachungsämter von Berlin,Amtsanwaltschaft Berlin,0
Stiftung Stadtmuseum Berlin,Berliner Bäderbetriebe,0
Finanzamt Reinickendorf,Technische Universität Berlin,0
Justizvollzugsanstalt für Frauen Berlin,Berliner Wasserbetriebe (BWB),198
"Landesamt für Bergbau, Geologie und Rohstoffe",Stiftung Preußischer Kulturbesitz,0
Steuerberaterkammer Berlin,Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,0
Finanzamt Marzahn-Hellersdorf,Finanzamt Friedrichshain-Kreuzberg,0
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",Finanzamt Charlottenburg,0
Senatsverwaltung für Kultur und Europa,Landesfinanzservice (inkl. Landeshauptkasse),18
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Finanzamt Friedrichshain-Kreuzberg,0
Pestalozzi-Fröbel-Haus,Ärztekammer Berlin,0
Amtsgericht Lichtenberg,Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,0
Deutsche Klassenlotterie Berlin,Bezirksamt Pankow,0
Landesarbeitsgericht Berlin-Brandenburg,Jugendstrafanstalt Berlin,36
Berliner Wasserbetriebe (BWB),Landesfinanzservice (inkl. Landeshauptkasse),0
Wohnraumversorgung Berlin,Senatsverwaltung für Kultur und Europa,0
Polizei Berlin,Maxim Gorki Theater,0
Bezirksamt Spandau,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Berliner Bäderbetriebe,Bezirksamt Spandau,0
Kassenzahnärztliche Vereinigung Berlin,Justizvollzugsanstalt für Frauen Berlin,0
Ärztekammer Berlin,Abgeordnetenhaus von Berlin,198
Amtsgericht Spandau,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Verkehrslenkung Berlin,0
Bezirksamt Reinickendorf,Pestalozzi-Fröbel-Haus,0
Landesverwaltungsamt,Verkehrslenkung Berlin,0
Investitionsbank Berlin,Investitionsbank Berlin,0
Finanzamt Friedrichshain-Kreuzberg,Berliner Bäderbetriebe,144
Verwaltungsgericht Berlin,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",0
Senatsverwaltung für Finanzen,Pflanzenschutzamt Berlin,0
Maxim Gorki Theater,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Stiftung Preußischer Kulturbesitz,Finanzamt Marzahn-Hellersdorf,0
Jugendstrafanstalt Berlin,Wiedergutmachungsämter von Berlin,0
Finanzamt Lichtenberg,Jugendstrafanstalt Berlin,0
Bezirksamt Pankow,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
Abgeordnetenhaus von Berlin,Bezirksamt Pankow,0
Finanzamt für Körperschaften II,Amtsgericht Lichtenberg,0
Bezirksamt Mitte,Bezirksamt Reinickendorf,0
Stiftung Bröhan-Museum,Berliner Wasserbetriebe (BWB),0
Landesfinanzservice (inkl. Landeshauptkasse),Finanzamt Charlottenburg,0
Amtsanwaltschaft Berlin,Technische Universität Berlin,0
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Finanzamt Friedrichshain-Kreuzberg,0
Handwerksinnungen,Stiftung Bröhan-Museum,0
Verfassungsgerichtshof des Landes Berlin,"Landesamt für Bergbau, Geologie und Rohstoffe",0
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,Finanzamt Friedrichshain-Kreuzberg,0
Pflanzenschutzamt Berlin,Stiftung Preußischer Kulturbesitz,0
Technische Universität Berlin,Technische Universität Berlin,0
Verkehrslenkung Berlin,Finanzamt Marzahn-Hellersdorf,0
Unfallkasse Berlin,Amtsgericht Spandau,0
Finanzamt Charlottenburg,Handwerksinnungen,0
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Verkehrslenkung Berlin,72
Wiedergutmachungsämter von Berlin,Amtsgericht Spandau,0
Stiftung Stadtmuseum Berlin,Justizvollzugsanstalt für Frauen Berlin,0
Finanzamt Reinickendorf,Verkehrslenkung Berlin,0
Justizvollzugsanstalt für Frauen Berlin,Bezirksamt Spandau,0
"Landesamt für Bergbau, Geologie und Rohstoffe",Finanzamt Lichtenberg,18
Steuerberaterkammer Berlin,Ärztekammer Berlin,0
Finanzamt Marzahn-Hellersdorf,Amtsgericht Spandau,0
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung","Senatsverwaltung für Wirtschaft, Energie und Betriebe",0
Senatsverwaltung für Kultur und Europa,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",90
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
Pestalozzi-Fröbel-Haus,Maxim Gorki Theater,0
Amtsgericht Lichtenberg,Finanzamt Reinickendorf,0
Deutsche Klassenlotterie Berlin,Pestalozzi-Fröbel-Haus,0
Landesarbeitsgericht Berlin-Brandenburg,Ärztekammer Berlin,0
Berliner Wasserbetriebe (BWB),Finanzamt Charlottenburg,0
Wohnraumversorgung Berlin,Finanzamt Charlottenburg,0
Polizei Berlin,Bezirksamt Pankow,0
Bezirksamt Spandau,Senatsverwaltung für Finanzen,0
Berliner Bäderbetriebe,Investitionsbank Berlin,0
Kassenzahnärztliche Vereinigung Berlin,Verwaltungsgericht Berlin,0
Ärztekammer Berlin,Finanzamt Marzahn-Hellersdorf,0
Amtsgericht Spandau,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",162
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Bezirksamt Pankow,0
Bezirksamt Reinickendorf,Steuerberaterkammer Berlin,0
Landesverwaltungsamt,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
Investitionsbank Berlin,Deutsche Klassenlotterie Berlin,0
Finanzamt Friedrichshain-Kreuzberg,Stiftung Preußischer Kulturbesitz,18
Verwaltungsgericht Berlin,Wiedergutmachungsämter von Berlin,0
Senatsverwaltung für Finanzen,Stiftung Preußischer Kulturbesitz,0
Maxim Gorki Theater,Verfassungsgerichtshof des Landes Berlin,0
Stiftung Preußischer Kulturbesitz,Polizei Berlin,0
Jugendstrafanstalt Berlin,Steuerberaterkammer Berlin,0
Finanzamt Lichtenberg,Bezirksamt Pankow,0
Bezirksamt Pankow,Wiedergutmachungsämter von Berlin,0
Abgeordnetenhaus von Berlin,Deutsche Klassenlotterie Berlin,0
Finanzamt für Körperschaften II,Finanzamt Charlottenburg,180
Bezirksamt Mitte,Handwerksinnungen,54
Stiftung Bröhan-Museum,Senatsverwaltung für Kultur und Europa,162
Landesfinanzservice (inkl. Landeshauptkasse),Amtsanwaltschaft Berlin,0
Amtsanwaltschaft Berlin,Amtsanwaltschaft Berlin,108
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Steuerberaterkammer Berlin,0
Handwerksinnungen,Bezirksamt Spandau,0
Verfassungsgerichtshof des Landes Berlin,Finanzamt Charlottenburg,126
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Pflanzenschutzamt Berlin,Pestalozzi-Fröbel-Haus,0
Technische Universität Berlin,Handwerksinnungen,0
Verkehrslenkung Berlin,Unfallkasse Berlin,0
Unfallkasse Berlin,Verwaltungsgericht Berlin,0
Finanzamt Charlottenburg,Kassenzahnärztliche Vereinigung Berlin,0
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Bezirksamt Mitte,0
Wiedergutmachungsämter von Berlin,Landesverwaltungsamt,0
Stiftung Stadtmuseum Berlin,Amtsanwaltschaft Berlin,0
Finanzamt Reinickendorf,Kassenzahnärztliche Vereinigung Berlin,0
Justizvollzugsanstalt für Frauen Berlin,Finanzamt Friedrichshain-Kreuzberg,0
"Landesamt für Bergbau, Geologie und Rohstoffe",Abgeordnetenhaus von Berlin,0
Steuerberaterkammer Berlin,Finanzamt für Körperschaften II,0
Finanzamt Marzahn-Hellersdorf,Bezirksamt Pankow,0
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",Maxim Gorki Theater,0
Senatsverwaltung für Kultur und Europa,Finanzamt Friedrichshain-Kreuzberg,0
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Finanzamt Marzahn-Hellersdorf,162
Pestalozzi-Fröbel-Haus,Pflanzenschutzamt Berlin,0
Amtsgericht Lichtenberg,Amtsgericht Spandau,0
Deutsche Klassenlotterie Berlin,Amtsgericht Lichtenberg,0
Landesarbeitsgericht Berlin-Brandenburg,Amtsgericht Lichtenberg,0
Berliner Wasserbetriebe (BWB),Ärztekammer Berlin,0
Wohnraumversorgung Berlin,Deutsche Klassenlotterie Berlin,0
Polizei Berlin,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,180
Bezirksamt Spandau,Verwaltungsgericht Berlin,0
Berliner Bäderbetriebe,Amtsanwaltschaft Berlin,0
Kassenzahnärztliche Vereinigung Berlin,Landesverwaltungsamt,0
Ärztekammer Berlin,Pestalozzi-Fröbel-Haus,0
Amtsgericht Spandau,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",0
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Polizei Berlin,0
Bezirksamt Reinickendorf,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Landesverwaltungsamt,Pflanzenschutzamt Berlin,0
Investitionsbank Berlin,Maxim Gorki Theater,0
Finanzamt Friedrichshain-Kreuzberg,Amtsgericht Lichtenberg,0
Verwaltungsgericht Berlin,Kassenzahnärztliche Vereinigung Berlin,0
Senatsverwaltung für Finanzen,Wohnraumversorgung Berlin,0
Maxim Gorki Theater,Stiftung Bröhan-Museum,0
Stiftung Preußischer Kulturbesitz,Wohnraumversorgung Berlin,0
Jugendstrafanstalt Berlin,Bezirksamt Spandau,0
Finanzamt Lichtenberg,Bezirksamt Spandau,0
Bezirksamt Pankow,Steuerberaterkammer Berlin,36
Abgeordnetenhaus von Berlin,Pflanzenschutzamt Berlin,0
